"country_of_origin","aroma","flavor","acidity","category_two_defects","altitude_mean_meters","harvested","Qualityclass"
"Mexico",7.42,7.25,7.58,6,1400,2013,0
"Guatemala",7.42,7.42,7.5,4,1500,2014,0
"Brazil",7.75,7.58,7.42,0,1100,2015,0
"Mexico",7.25,7.08,7.17,5,1300,2013,0
"Guatemala",7.67,7.83,7.5,2,1500,2014,1
"Colombia",7.83,7.83,7.33,1,1600,2011,1
"Mexico",7.67,7.17,7.33,0,1350,2012,0
"Colombia",7.75,7.75,7.75,2,1750,2012,1
"Colombia",7.67,7.42,7.33,5,1600,2011,0
"Brazil",7.33,7.58,7.17,0,1100,2015,0
"China",7.67,8,7.83,2,1100,2013,1
"Brazil",7.25,7.58,8,0,1,2016,1
"Colombia",7.58,8.08,7.83,2,1550,2014,1
"Colombia",7.5,7.75,7.75,4,1625,2015,1
"El Salvador",7.67,7.58,7.5,2,1250,2014,0
"Brazil",7.58,7.83,7.42,1,1200,2015,1
"Colombia",7.58,7.58,7.58,4,1775,2015,1
"Brazil",7.33,7.67,7.17,0,1038.5,2012,0
"Guatemala",7.42,7.33,7.67,3,1219.2,2017,0
"Guatemala",7.5,7.42,7.58,0,1219.2,2014,0
"Brazil",7.58,7.83,7.67,6,900,2015,1
"Panama",8,8,8.08,0,1600,2017,1
"Colombia",8.17,7.83,8.08,0,2560,2015,1
"Guatemala",7.5,7.33,7.58,4,1524,2013,0
"Indonesia",7.92,7.83,7.75,7,1200,2016,1
"Colombia",7.83,7.5,7.42,2,1550,2013,0
"Colombia",7.58,7.33,7.33,2,1300,2013,1
"Brazil",7.75,7.67,7.58,1,1200,2012,1
"Ethiopia",7.75,7.75,7.58,40,1550,2013,1
"Nicaragua",7.67,7.83,7.5,0,1000,2015,1
"Colombia",7.67,7.83,7.75,1,1700,2013,1
"Ethiopia",7.5,7.92,7.83,5,1606.5,2014,1
"Guatemala",7.58,7.67,7.58,8,1800,2017,1
"Colombia",7.75,7.67,7.25,1,1600,2010,1
"Colombia",7.67,7.58,7.83,1,1750,2013,1
"Honduras",7,7.17,7.17,16,1350,2014,0
"Mexico",7.58,7.33,7.5,12,1186,2012,0
"Brazil",7.42,7.5,7.5,5,890,2018,0
"Colombia",7.33,7.67,7.42,1,1000,2013,1
"Guatemala",7,7.17,7.33,12,1400,2012,0
"Brazil",7.5,7.5,7.5,1,905,2015,1
"Kenya",7.75,7.58,7.58,3,1754,2017,1
"Philippines",7.25,7.25,7.08,4,1200,2014,0
"Guatemala",7.67,7.58,7.42,0,1219.2,2017,0
"Colombia",7.67,7.5,7.5,3,1775,2012,1
"Brazil",7.17,7.33,7.08,1,995,2018,0
"Ethiopia",7.83,8,7.92,7,1900,2015,1
"Uganda",8.17,7.92,7.75,1,1800,2016,1
"Uganda",8,7.75,7.58,7,1367,2013,0
"Colombia",7.33,7.58,7.42,0,3850,2011,1
"Brazil",8.17,8,7.75,4,1275,2011,1
"Brazil",7.5,7.58,7.67,5,894,2016,1
"Mexico",7.67,7.25,7.75,4,1400,2012,0
"Mexico",7.67,7.75,7.67,32,900,2012,1
"United States",7.67,8.17,8,0,1941,2014,1
"Brazil",7.5,7.33,7.58,3,890,2018,0
"Honduras",7.42,7.17,7.5,1,1400,2015,0
"Mexico",7.75,7.75,7.67,2,1200,2014,1
"Costa Rica",7.83,7.42,7.83,3,1300,2013,1
"Guatemala",7.83,8,8.17,3,1524,2012,1
"Uganda",7.33,7.58,7.75,1,1600,2013,0
"Thailand",7.08,7.33,7.58,0,1499.9208,2011,0
"Guatemala",7.5,7.5,7.5,2,1219.2,2016,1
"Malawi",7.75,7.33,7.33,1,1200,2014,0
"India",7.67,7.67,7.33,1,750,2014,0
"Guatemala",7.5,7.5,7.58,2,1390.8024,2012,0
"Guatemala",7.33,7,7.17,2,1219.2,2014,0
"Colombia",7.67,7.58,7.58,3,1775,2012,1
"Guatemala",7.58,7.58,7.58,0,157.8864,2017,1
"Mexico",7.83,8,7.75,3,1300,2015,1
"Tanzania, United Republic Of",7.42,7.33,7.42,5,1500,2014,0
"Honduras",7.58,7.92,7.75,2,1500,2016,1
"Brazil",7.5,7.58,7.75,4,890,2018,1
"Guatemala",7.08,7,7.42,6,1320,2016,0
"Vietnam",7.75,7.67,7.58,0,1550,2014,1
"Brazil",7.42,7.5,7.5,3,973,2016,0
"India",7.67,7.75,7.67,0,3140,2017,1
"Mexico",7.42,7.5,7.58,0,1296,2014,0
"Colombia",7.83,7.75,7.25,3,1880,2010,1
"Mexico",7.25,6.92,7.33,5,1550,2012,0
"Honduras",7.25,7.25,7,4,1400,2016,0
"Costa Rica",7.92,7.83,7.83,0,1700,2014,1
"Kenya",8.17,7.83,7.75,7,1,2015,1
"Indonesia",7.67,7.67,7.58,3,1400,2017,1
"Mexico",7.58,7.75,7.5,2,1400,2014,0
"Honduras",7.67,7.67,7.67,1,1450,2016,1
"Brazil",7.58,7.5,7.5,2,950,2012,0
"Costa Rica",7.5,7.5,7.5,0,1900,2016,1
"Mexico",7.5,7.58,7.92,0,1170,2013,0
"Kenya",7.83,7.75,7.75,1,250.5,2014,1
"Mexico",7.5,7.5,7.42,9,774,2012,0
"Brazil",7.58,7.42,7.25,8,695,2016,0
"Guatemala",7.58,7.5,7.42,6,3280,2015,0
"Tanzania, United Republic Of",7.75,7.67,7.67,4,1600,2014,1
"Mexico",7.58,7.08,7,4,1400,2013,0
"Guatemala",7.83,7.67,7.67,2,1310.64,2013,1
"Mexico",7.67,7.58,7.5,20,750,2012,1
"Colombia",7.67,7.67,7.67,4,442,2016,1
"Ethiopia",7.67,7.75,7.58,18,1600,2014,1
"Guatemala",7.58,7.75,7.83,0,1400,2013,1
"Guatemala",7.42,7.58,7.67,1,1219.2,2017,1
"Thailand",7.33,7.42,7.42,3,800,2012,0
"Colombia",7.75,7.75,7.75,5,1750,2013,1
"Guatemala",7.5,7.58,7.67,2,1700,2017,1
"Uganda",7.92,7.75,7.75,1,1750,2016,1
"China",7.67,7.5,7.33,0,1100,2015,1
"Brazil",8,8,7.75,2,1300,2011,1
"Mexico",7.92,7.58,7.92,1,1300,2012,0
"Brazil",7.17,7.17,7.17,5,1100,2018,0
"Colombia",7.67,7.58,7.58,1,1550,2014,1
"Honduras",7.5,7.5,7.42,2,1500,2015,0
"Colombia",7.75,7.58,7.83,0,1800,2013,1
"Guatemala",7.33,7.33,7.33,5,1310.64,2012,0
"Costa Rica",7.33,7.08,7.25,3,1300,2014,0
"Mexico",7.25,7.08,7.25,20,1550,2012,0
"Brazil",7.75,7.67,7.5,1,1000,2012,1
"Honduras",7.5,7.5,7.67,2,1400,2016,1
"Colombia",7.58,7.5,7.33,2,1900,2013,1
"Colombia",8,7.67,7.25,1,1880,2010,1
"Costa Rica",7.58,7.33,7.33,2,13,2013,0
"Thailand",7.5,7.75,7.83,0,800,2014,1
"Costa Rica",7.58,7.42,7.17,1,13,2015,0
"Brazil",7.25,7.42,7.5,2,1260,2015,0
"Brazil",7.42,7.67,7.08,9,1,2016,0
"Mexico",7.42,7.58,7.67,1,1600,2013,1
"Indonesia",7.25,7.67,7.92,8,1500,2015,1
"Colombia",7.75,7.58,7.58,0,1550,2014,1
"Colombia",7.33,7.42,7.33,1,1750,2011,0
"Mexico",7.42,7.5,7.58,3,900,2012,0
"Honduras",7.58,7,6.92,5,1650,2017,0
"Mexico",7.67,7.58,7.75,0,1150,2012,1
"Honduras",7.5,7.17,7.42,5,1400,2014,0
"United States",7.42,7.58,7.5,9,1200,2014,1
"Guatemala",7.75,7.75,7.75,6,1500,2016,1
"Uganda",7.83,7.5,7.58,0,1650,2013,1
"China",7.75,7.92,7.83,1,1680,2015,1
"Honduras",7.58,7.42,7.42,4,1350,2015,0
"Mexico",7.83,7.58,7.92,3,1200,2012,1
"Tanzania, United Republic Of",7.58,7.5,7.58,4,1550,2014,1
"Guatemala",7.33,7.83,8.17,1,1524,2014,1
"Uganda",7.83,7.58,7.67,2,1745,2013,0
"Guatemala",7.58,7.83,7.83,2,3280,2016,1
"Guatemala",7.58,7.5,7.67,0,157.8864,2017,0
"Mexico",7.67,7.58,7.5,13,1250,2012,0
"Mexico",7.5,7.17,7.25,1,100,2012,0
"Tanzania, United Republic Of",7.17,7.33,7.42,1,1800,2016,0
"Mexico",7.33,7.33,7.5,10,1250,2012,0
"Costa Rica",7.92,7.67,7.75,2,1200,2018,1
"Colombia",8.17,7.92,8,0,1550,2015,1
"China",7.5,7.58,7.5,2,1580,2015,0
"Honduras",7.67,7.67,7.67,3,1350,2015,1
"Tanzania, United Republic Of",7.75,7.42,7.58,1,1700,2014,0
"Mexico",7.33,7.33,7.42,2,1150,2013,0
"Guatemala",7.33,7.33,7.5,4,1310.64,2013,0
"Mexico",7.75,7.67,7.5,8,532,2012,1
"Guatemala",7.67,8.17,7.42,13,1310.64,2012,1
"Mexico",7.5,7,7.08,0,1400,2012,0
"Colombia",7.5,7.42,7.5,1,1750,2013,0
"Mexico",7.17,6.92,7.08,34,1450,2012,0
"Tanzania, United Republic Of",7.42,7.33,7.42,0,1500,2014,0
"Tanzania, United Republic Of",7.92,7.75,7.75,0,1400,2014,1
"Costa Rica",7.58,7.5,7.67,1,1850,2016,1
"Guatemala",7.83,7.67,7.33,1,1310.64,2013,0
"Colombia",7.75,7.25,7.42,3,1750,2013,1
"Vietnam",7,7.08,7.5,0,1040,2014,0
"Uganda",7.92,7.83,7.92,3,1775,2012,1
"Ethiopia",8.17,8.17,8.17,8,1850,2014,1
"Mexico",7.58,7.5,7.5,7,1425,2015,0
"Malawi",7.5,7.25,7.17,1,995,2014,0
"Mexico",7.58,7.42,7.33,13,1800,2012,0
"Nicaragua",7.17,7,7,4,1100,2016,0
"Honduras",7.25,7.25,7.17,0,1400,2015,0
"Zambia",7.67,7.08,7.33,3,1250,2014,0
"Colombia",7.58,7.58,7.75,1,1813,2015,1
"Guatemala",7.58,7.83,8,1,1219.2,2014,1
"Indonesia",7.75,7.83,8,3,1325,2012,1
"Guatemala",7.5,7.67,7.67,4,1700,2017,1
"Mexico",7.67,7.33,7.17,1,1550,2014,0
"China",7.5,7.67,7.67,0,1200,2015,1
"Mexico",7.67,7.42,7.83,0,1000,2012,0
"China",7.25,7.08,7.17,14,1700,2013,0
"Mexico",7.58,7.67,7.58,10,1550,2012,1
"Nicaragua",7.33,7.5,7.17,7,1200,2016,0
"Guatemala",7.5,7.67,7.5,5,1310.64,2012,0
"Malawi",7.58,7.42,7.33,0,1556,2014,0
"Colombia",7.67,7.67,7.75,0,1550,2013,1
"Honduras",7.58,7.33,7.17,5,1650,2017,0
"Thailand",7.75,7.33,7.67,0,800,2014,1
"Kenya",7.58,7.75,7.75,0,250.5,2013,1
"Thailand",7.33,7.5,7.5,0,1450,2014,1
"Malawi",7.5,7.42,7.58,1,2500,2014,0
"Guatemala",7.75,7.83,7.83,1,1219.2,2013,1
"Mexico",7.58,7.58,7.25,4,1248,2012,1
"Guatemala",7.58,7.75,8,10,1550,2014,1
"Costa Rica",7.5,7.17,7.17,3,1850,2013,0
"Tanzania, United Republic Of",7.42,7.33,7.25,2,1456,2014,0
"Guatemala",7.5,7.42,7.83,6,1676.4,2015,0
"Mexico",7.33,7.5,7.33,6,1000,2012,0
"Nicaragua",7.33,7.33,7.42,1,1100,2015,0
"Brazil",8,8,7.83,3,1100,2012,1
"Mexico",7.5,7.17,7.5,17,1550,2012,0
"Guatemala",7.5,7.33,7.42,1,1706.88,2015,0
"Mexico",7,7,7.33,1,1400,2012,0
"Uganda",7.67,7.5,7.67,0,1650,2013,1
"Myanmar",7.17,7.42,7.58,5,1066.8,2015,0
"Guatemala",7.67,7.58,7.67,1,1300,2012,1
"Mexico",7.58,7.58,7.42,4,1338,2013,0
"Guatemala",7.75,7.92,7.92,10,1565,2016,1
"Guatemala",7.5,7.42,7.5,1,1310.64,2013,0
"Mexico",7,7,7.17,10,1000,2012,0
"El Salvador",7.42,7.83,8.08,3,1200,2011,1
"Mexico",7.17,7.08,7.08,3,1100,2012,0
"Brazil",7.67,7.67,7.5,1,1200,2015,1
"Vietnam",7.67,7.33,7.58,17,1040,2012,1
"Mexico",7.5,7.42,7.5,13,1800,2012,0
"Guatemala",7.25,7.33,7,4,1219.2,2014,0
"Kenya",7.67,7.83,7.75,2,1200,2012,1
"Mexico",7,6.83,7.42,30,800,2012,0
"Guatemala",7.5,7.58,7.83,7,2100,2016,1
"Honduras",7.5,7.33,7.42,2,1450,2015,0
"Guatemala",7.08,6.92,7,15,1310.64,2013,0
"Brazil",7.67,7.42,7.58,4,890,2018,1
"Mexico",7.42,7.5,7.58,1,1100,2012,0
"Honduras",7.5,7.5,7.33,4,1350,2014,0
"Guatemala",7.58,7.58,7.83,7,1550,2015,0
"Uganda",7.83,8.08,7.92,2,1488,2013,1
"Colombia",7.5,7.75,7.5,2,1450,2012,1
"El Salvador",7.33,7.67,7.83,4,1250,2016,1
"Colombia",7.75,7.5,7.5,0,1750,2013,1
"Mexico",7.58,7.75,7.5,6,1300,2013,1
"Colombia",7.92,7.58,7.83,6,2527,2017,1
"Mexico",7.25,7.17,7.25,4,1200,2014,0
"Mexico",7.25,7.25,7.33,1,1450,2012,0
"Tanzania, United Republic Of",8,7.83,7.92,2,1620,2014,1
"Mexico",7.33,7.08,7.33,4,1300,2013,0
"Kenya",8.08,7.67,7.58,0,1700,2017,1
"Mexico",7.5,7.58,7.5,10,1679,2012,1
"Brazil",7.17,7.42,7.08,1,1,2016,0
"Guatemala",7.33,7.42,7.42,0,1219.2,2017,0
"Guatemala",7.25,7.17,7.25,6,1550,2015,0
"Colombia",7.75,7.58,7.5,0,1650,2014,1
"Kenya",7.83,7.83,7.75,2,1800,2013,1
"Colombia",7.67,7.58,7.67,0,1600,2014,1
"Colombia",7.83,7.75,7.58,3,1750,2013,1
"Guatemala",7.67,7.83,7.67,2,1310.64,2013,1
"Mexico",7.58,7.58,7.17,8,533,2012,0
"Costa Rica",7.5,7.5,7.17,0,1300,2015,0
"Colombia",7.5,7.42,7.5,4,1800,2013,1
"El Salvador",7.83,7.83,8,2,1350,2016,1
"Mexico",7.83,7.33,7.58,2,1500,2012,0
"Mexico",7.67,7.75,7.75,10,1480,2012,1
"Uganda",8.17,8.17,8.08,0,1650,2013,1
"Tanzania, United Republic Of",7.58,7.42,7.33,6,1650,2015,0
"Indonesia",7.75,7.83,7.75,0,1250,2015,0
"Mexico",7.08,7,7.5,7,1700,2013,0
"Colombia",7.67,7.67,7.67,1,1000,2013,1
"Mexico",7.25,7.25,7.5,47,1300,2012,0
"Mexico",7.83,7.5,7.67,0,1450,2012,0
"Mexico",7.25,7.17,7.08,0,1450,2012,0
"Thailand",7.42,7.42,7.75,0,800,2014,0
"Mexico",7.33,7,7,5,1500,2012,0
"Colombia",7.58,7.67,7.58,0,1750,2012,1
"Colombia",7.58,7.58,7.58,0,1483,2014,1
"Kenya",7.67,7.75,7.75,0,1650,2012,1
"Thailand",7.67,7.75,7.67,1,1350,2015,1
"Mexico",7.17,7.08,7.25,3,1300,2012,0
"El Salvador",7.92,8.17,7.92,3,1500,2013,1
"Mexico",7.83,7.83,7.92,5,1300,2017,1
"Brazil",7.58,7.83,7.25,0,1260,2014,1
"Colombia",7.67,7.67,7.92,5,1775,2014,1
"Colombia",7.42,7.67,7.75,0,442,2015,1
"Kenya",7.92,7.92,8.08,3,1900,2014,1
"Colombia",7.75,7.58,7.83,1,1775,2014,1
"Guatemala",7.83,7.58,7.83,9,1310.64,2012,1
"Myanmar",7.17,7.33,7.42,2,3800,2015,0
"El Salvador",7.58,7.67,7.67,0,1500,2014,0
"Guatemala",7.83,7.75,7.67,1,1770,2014,1
"Mexico",7.58,7.33,7.33,17,1100,2017,0
"Costa Rica",7.67,7.58,7.75,1,1750,2014,1
"Brazil",7.42,7.58,7.5,3,894,2016,0
"Colombia",7.58,7.25,7.25,1,1750,2011,0
"Guatemala",7.33,7.08,7.25,8,1310.64,2013,0
"Guatemala",7.58,7.5,7.75,2,1700,2017,0
"El Salvador",7.33,7.17,7.08,1,1450,2013,0
"Honduras",7.5,7.5,7.33,7,1600,2016,0
"Myanmar",7.25,7.42,7.5,4,1219.2,2015,0
"Guatemala",8.17,7.83,7.83,2,1310.64,2013,1
"Honduras",7.42,7.25,7.33,1,1350,2014,0
"Mexico",7.75,7.58,7.17,4,940,2012,0
"Tanzania, United Republic Of",7.5,7.5,7.5,0,1700,2014,1
"Brazil",7.25,7.33,7.25,8,1200,2015,0
"Colombia",7.58,7.67,7.33,1,1500,2017,1
"El Salvador",7.67,7.67,7.33,4,1250,2017,1
"Mexico",7.75,7.67,7.75,1,1400,2012,1
"Colombia",7.92,7.75,7.42,0,1700,2011,1
"Myanmar",8,7.08,7.33,26,914.4,2015,0
"Colombia",8,8,8.17,0,1800,2013,1
"Mexico",7.67,7.58,7.58,2,1650,2012,0
"Mexico",7.42,7.08,7.33,16,1550,2012,0
"Brazil",7.25,7.33,7.33,14,1100,2016,0
"Guatemala",7.42,7.5,7.42,6,1550,2014,0
"Costa Rica",7.58,7.5,7.75,4,1100,2013,0
"United States (Puerto Rico)",7.42,7.08,7.33,0,853.44,2013,0
"Mexico",7.75,7.92,7.92,2,1400,2012,1
"Colombia",7.5,7.58,7.67,2,1800,2011,1
"Colombia",7.33,7.25,7.58,1,1750,2013,0
"Guatemala",7.67,7.75,7.83,2,1500,2014,1
"Vietnam",7.42,7.25,7.58,2,1550,2017,0
"Tanzania, United Republic Of",7.33,7.33,7.25,7,1700,2013,0
"Brazil",7.17,7.83,7.5,0,1,2016,0
"Brazil",7.5,7.5,7.5,4,890,2018,1
"Guatemala",8,7.83,7.83,4,1310.64,2012,1
"Tanzania, United Republic Of",7.75,7.58,7.58,6,1700,2014,1
"Honduras",7.58,7.58,7.5,4,1400,2017,1
"India",8,7.92,8,0,3000,2012,1
"Mexico",7.5,7.42,7.33,1,1650,2012,0
"Brazil",7.25,7.33,7.5,3,1250,2016,0
"Guatemala",7.67,7.25,7.33,1,1200,2013,0
"Malawi",7.75,7.58,7.5,0,1442,2014,1
"Brazil",7.67,7.58,7.58,0,890,2018,1
"Mexico",7.33,7.33,7.42,5,1642,2012,0
"Colombia",7.5,7.67,7.58,1,1750,2012,1
"Uganda",8,7.92,7.75,0,1400,2013,1
"Thailand",7.58,7.5,7.42,0,800,2013,0
"Costa Rica",7.75,7.42,7.25,0,1300,2015,0
"Mexico",7.08,6.83,7,14,1400,2012,0
"Mexico",7.92,7.83,7.75,4,1500,2012,1
"Philippines",8.08,7.5,7.42,0,1600,2014,1
"Colombia",7.83,8,7.75,8,2136,2012,1
"Guatemala",7.67,7.67,7.58,2,1901,2017,0
"Mexico",7.58,7.33,7.25,2,1200,2012,0
"United States",7.42,7.17,7.42,0,1706.88,2014,0
"Guatemala",7.5,7.75,7.83,1,1500,2015,1
"Honduras",7.58,7.5,7.58,2,1350,2015,0
"Mexico",7.17,7.17,7.25,7,1100,2012,0
"Mexico",7.08,6.83,7.42,20,900,2012,0
"Mexico",7.58,7.75,7.67,10,1089,2012,1
"Guatemala",7.75,7.5,7.58,1,1500,2014,1
"Mexico",7.5,7.58,7.58,0,950,2012,1
"Guatemala",8,7.5,8,0,1356.6648,2014,1
"Brazil",7.5,7.83,7.58,5,1227,2016,1
"Guatemala",7.67,7.67,7.67,3,1310.64,2013,1
"Mexico",7.17,7.17,7.17,29,1280,2012,0
"Mexico",7.67,7.42,7.42,0,1130,2016,0
"Guatemala",7.08,7.33,7.58,2,1219.2,2013,0
"Guatemala",7.5,7.5,7.5,12,1402.08,2012,1
"Haiti",7.42,7,7.25,0,1000,2012,0
"China",8,8,7.83,0,1700,2015,1
"Brazil",7.58,7.5,7.67,0,1,2016,1
"Honduras",7.58,7.5,7.33,2,1450,2016,0
"Brazil",7.42,7.42,7.33,3,1260,2014,0
"Mexico",7.58,7.58,7.75,0,1200,2012,1
"Guatemala",7.75,7.75,7.83,0,1128.3696,2016,1
"Honduras",7.25,7.33,7.5,1,1450,2015,0
"Indonesia",7.67,7.58,7.58,0,1350,2010,1
"Costa Rica",7.75,7.83,8,2,1575,2012,1
"Guatemala",7.42,7.42,7.5,0,190164,2017,0
"Brazil",7.33,7.5,7.33,2,1100,2016,0
"Thailand",7.5,7.58,7.5,0,1200,2015,1
"Guatemala",7.5,7.17,7.5,3,1219.2,2014,0
"Guatemala",7.42,7.33,7.58,1,1310.64,2013,0
"Guatemala",7.75,7.92,8.08,1,1099.4136,2015,1
"Brazil",7.42,7.33,7.42,1,1000,2012,0
"Brazil",7.58,7.5,7.75,4,975,2011,1
"Guatemala",7.67,7.5,7.67,3,1752.6,2012,0
"Mexico",7.33,7,7.08,8,1300,2013,0
"Haiti",7.58,7.5,7.5,4,1280.16,2012,1
"Mexico",7.67,7.58,7.75,7,1250,2012,1
"Mexico",7.5,7.67,7.83,2,1500,2012,1
